시설명,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,요금,이용요금단위,오피스 타입,수용인원,운영시간(월),운영시간(화),운영시간(수),운영시간(목),운영시간(금),운영시간(토),운영시간(일),에어컨,카페_레스토랑,복사_인쇄기,택배발송서비스,도어락,콘센트,팩스,24시 운영,연중무휴,난방기,주차,공용라운지,공용주방,정수기,테라스_루프탑,간단한 다과_음료,개인락커,티비_프로젝터,화이트보드,인터넷_와이파이,샤워시설,창고,최종작성일,건물면적,연면적
슈가맨워크 인덕원역점 3인실 내측,경기도,안양시 동안구,관양동,,1505-27 번지,흥안대로,522 번,37.40050526,126.9773906,13943,경기도 안양시 동안구 흥안대로 522,경기도 안양시 동안구 관양동 1505-27,650000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,285.87 ㎡,"2,790.37 ㎡"
슈가맨워크 인천터미널점 1인실내측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,370000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 인천터미널점 1인실창측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,390000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 인천터미널점 2인실내측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,480000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 인천터미널점 2인실창측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,550000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 인천터미널점 3인실내측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,600000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 인천터미널점 4인실내측,인천광역시,남동구,구월동,,1466 번지,인하로489번길,22 번,37.44456588,126.7013861,21574,인천광역시 남동구 인하로489번길 22,인천광역시 남동구 구월동 1466,750000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,486.56 ㎡,"4,394.11 ㎡"
슈가맨워크 진접역점 1인실 내측,경기도,남양주시,진접읍,금곡리,1042 번지,해밀예당1로,220 번,37.72008855,127.2026158,12059,경기도 남양주시 진접읍 해밀예당1로 220,경기도 남양주시 진접읍 금곡리 1042,350000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,115.53 ㎡","12,485.29 ㎡"
슈가맨워크 진접역점 1인실 창측,경기도,남양주시,진접읍,금곡리,1042 번지,해밀예당1로,220 번,37.72008855,127.2026158,12059,경기도 남양주시 진접읍 해밀예당1로 220,경기도 남양주시 진접읍 금곡리 1042,380000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,115.53 ㎡","12,485.29 ㎡"
슈가맨워크 진접역점 2인실 내측,경기도,남양주시,진접읍,금곡리,1042 번지,해밀예당1로,220 번,37.72008855,127.2026158,12059,경기도 남양주시 진접읍 해밀예당1로 220,경기도 남양주시 진접읍 금곡리 1042,480000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,115.53 ㎡","12,485.29 ㎡"
슈가맨워크 진접역점 2인실 창측,경기도,남양주시,진접읍,금곡리,1042 번지,해밀예당1로,220 번,37.72008855,127.2026158,12059,경기도 남양주시 진접읍 해밀예당1로 220,경기도 남양주시 진접읍 금곡리 1042,530000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,115.53 ㎡","12,485.29 ㎡"
슈가맨워크 진접역점 3인실,경기도,남양주시,진접읍,금곡리,1042 번지,해밀예당1로,220 번,37.72008855,127.2026158,12059,경기도 남양주시 진접읍 해밀예당1로 220,경기도 남양주시 진접읍 금곡리 1042,580000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,115.53 ㎡","12,485.29 ㎡"
슈가맨워크 청라점 1인실 내측,인천광역시,서구,청라동,,157-19 번지,청라커낼로260번길,7-19 번,37.53263733,126.6466031,22762,인천광역시 서구 청라커낼로260번길 7-19,인천광역시 서구 청라동 157-19,360000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,715.43 ㎡,"7,778.4 ㎡"
슈가맨워크 청라점 2인실 내측,인천광역시,서구,청라동,,157-19 번지,청라커낼로260번길,7-19 번,37.53263733,126.6466031,22762,인천광역시 서구 청라커낼로260번길 7-19,인천광역시 서구 청라동 157-19,480000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,715.43 ㎡,"7,778.4 ㎡"
슈가맨워크 청라점 2인실 창측,인천광역시,서구,청라동,,157-19 번지,청라커낼로260번길,7-19 번,37.53263733,126.6466031,22762,인천광역시 서구 청라커낼로260번길 7-19,인천광역시 서구 청라동 157-19,550000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,715.43 ㎡,"7,778.4 ㎡"
슈가맨워크 청라점 4인실 창측,인천광역시,서구,청라동,,157-19 번지,청라커낼로260번길,7-19 번,37.53263733,126.6466031,22762,인천광역시 서구 청라커낼로260번길 7-19,인천광역시 서구 청라동 157-19,800000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,715.43 ㎡,"7,778.4 ㎡"
슈가맨워크 하남풍산점 1인실 내측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,350000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 하남풍산점 1인실 창측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,380000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 하남풍산점 2인실 내측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,480000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 하남풍산점 2인실 창측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,530000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 하남풍산점 3인실 창측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,630000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 하남풍산점 4인실 창측,경기도,하남시,덕풍동,,744 번지,덕풍동로,111-21 번,37.55180972,127.2076956,12927,경기도 하남시 덕풍동로 111-21,경기도 하남시 덕풍동 744,800000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,"1,432.1 ㎡","19,571.63 ㎡"
슈가맨워크 학동역점 1인실 내측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,400000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 1인실 창측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,500000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 2인실 내측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,650000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 2인실 창측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,750000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 3인실 내측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,900000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 3인실 창측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,1000000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈가맨워크 학동역점 4인실 창측,서울특별시,강남구,논현동,,57-13 번지,학동로,161 번,37.51352102,127.028338,6045,서울특별시 강남구 학동로 161,서울특별시 강남구 논현동 57-13,1200000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,345.07 ㎡,"1,796.04 ㎡"
슈퍼에그 독립사무실(5인실),서울특별시,종로구,수송동,,68-1 번지,삼봉로,57 번,37.57256152,126.9804738,3151,서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,1925000,월,독립오피스,2명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,2022-11-16,262.2 ㎡,"3,228.63 ㎡"
슈퍼에그 플레이스 4인 독립사무실,서울특별시,종로구,수송동,,68-1 번지,삼봉로,57 번,37.57256152,126.9804738,3151,서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,1650000,월,독립오피스,1명 ~ 5명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,2022-11-16,262.2 ㎡,"3,228.63 ㎡"
슈퍼에그플레이스 2-3독립 사무실,서울특별시,종로구,수송동,,68-1 번지,삼봉로,57 번,37.57256152,126.9804738,3151,서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,1045000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,262.2 ㎡,"3,228.63 ㎡"
슈퍼에그플레이스 독립사무실 S6,서울특별시,종로구,수송동,,68-1 번지,삼봉로,57 번,37.57256152,126.9804738,3151,서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,1650000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,2022-11-16,262.2 ㎡,"3,228.63 ㎡"
스마트앤오피스,경기도,고양시 일산동구,장항동,,856-2 번지,정발산로,31-10 번,37.65739364,126.7724041,10402,경기도 고양시 일산동구 정발산로 31-10,경기도 고양시 일산동구 장항동 856-2,27500,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,2022-11-16,"1,065.56 ㎡","13,730.18 ㎡"
스타비즈니스센터 1인실,경기도,김포시,사우동,,878 번지,사우중로74번길,7 번,37.62121396,126.7211428,10111,경기도 김포시 사우중로74번길 7,경기도 김포시 사우동 878,220000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,455.85 ㎡,"4,319.05 ㎡"
스타비즈니스센터 2인실,경기도,김포시,사우동,,878 번지,사우중로74번길,7 번,37.62121396,126.7211428,10111,경기도 김포시 사우중로74번길 7,경기도 김포시 사우동 878,330000,월,독립오피스,1명 ~ 2명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,455.85 ㎡,"4,319.05 ㎡"
스타비즈니스센터 4인실,경기도,김포시,사우동,,878 번지,사우중로74번길,7 번,37.62121396,126.7211428,10111,경기도 김포시 사우중로74번길 7,경기도 김포시 사우동 878,495000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,455.85 ㎡,"4,319.05 ㎡"
스타우스 2인실,인천광역시,미추홀구,문학동,,329-3 번지,승학길,5-30 번,37.43995907,126.6783681,22231,인천광역시 미추홀구 승학길 5-30,인천광역시 미추홀구 문학동 329-3,330000,월,독립오피스,1명 ~ 2명,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,휴무일,휴무일,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,389.84 ㎡,"1,497.57 ㎡"
스타우스 3인실,인천광역시,미추홀구,문학동,,329-3 번지,승학길,5-30 번,37.43995907,126.6783681,22231,인천광역시 미추홀구 승학길 5-30,인천광역시 미추홀구 문학동 329-3,385000,월,독립오피스,1명 ~ 3명,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,휴무일,휴무일,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,2022-11-16,389.84 ㎡,"1,497.57 ㎡"
스타우스 소호 사무실 1인실,인천광역시,미추홀구,문학동,,329-3 번지,승학길,5-30 번,37.43999291,126.6783563,22231,인천광역시 미추홀구 승학길 5-30,인천광역시 미추홀구 문학동 329-3,198000,월,독립오피스,1명 ~ 2명,휴무일,휴무일,휴무일,휴무일,휴무일,휴무일,휴무일,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,2022-11-16,389.84 ㎡,"1,497.57 ㎡"
스타트업소호 인천점,인천광역시,남동구,구월동,,1542-1 번지,선수촌공원로23번길,11 번,37.44087515,126.7085322,21582,인천광역시 남동구 선수촌공원로23번길 11,인천광역시 남동구 구월동 1542-1,176000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,786.4 ㎡,"6,891.01 ㎡"
스타트업소호 일산점,경기도,고양시 일산동구,중산동,,1579-1 번지,탄중로,429 번,37.68708851,126.7786459,10338,경기도 고양시 일산동구 탄중로 429,경기도 고양시 일산동구 중산동 1579-1,165000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,2022-11-16,558.72 ㎡,"3,579.3 ㎡"
스튜디오모노 1-3인 공유오피스,서울특별시,강남구,논현동,,170 번지,논현로115길,71 번,37.50832105,127.0272031,6118,서울특별시 강남구 논현로115길 71,서울특별시 강남구 논현동 170,550000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,2022-11-16,143.64 ㎡,"1,052.64 ㎡"
스튜디오모노 4-5인 공유오피스,서울특별시,강남구,논현동,,170 번지,논현로115길,71 번,37.50832105,127.0272031,6118,서울특별시 강남구 논현로115길 71,서울특별시 강남구 논현동 170,990000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,2022-11-16,143.64 ㎡,"1,052.64 ㎡"
스튜디오모노 8인 오피스,서울특별시,강남구,논현동,,170 번지,논현로115길,71 번,37.50832105,127.0272031,6118,서울특별시 강남구 논현로115길 71,서울특별시 강남구 논현동 170,1980000,월,독립오피스,1명 ~ 10명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,2022-11-16,143.64 ㎡,"1,052.64 ㎡"
스틸얼라이브,서울특별시,동대문구,장안동,,423-4 번지,천호대로83길,31 번,37.56374117,127.0649884,2636,서울특별시 동대문구 천호대로83길 31,서울특별시 동대문구 장안동 423-4,704000,월,독립오피스,1명 ~ 6명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,2022-11-16,351.83 ㎡,"2,295.12 ㎡"
스페이스 소호 고양일산 공유사무실,경기도,고양시 일산동구,백석동,,1308 번지,일산로,46 번,37.64235812,126.7879038,10449,경기도 고양시 일산동구 일산로 46,경기도 고양시 일산동구 백석동 1308,450000,월,독립오피스,1명 ~ 3명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,2022-11-16,- ㎡,- ㎡
