시설명,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,요금,이용요금단위,오피스 타입,수용인원,운영시간(월),운영시간(화),운영시간(수),운영시간(목),운영시간(금),운영시간(토),운영시간(일),에어컨,카페_레스토랑,복사_인쇄기,택배발송서비스,도어락,콘센트,팩스,24시 운영,연중무휴,난방기,주차,공용라운지,공용주방,정수기,테라스_루프탑,간단한 다과_음료,개인락커,티비_프로젝터,화이트보드,인터넷_와이파이,샤워시설,창고,최종작성일,건물면적,연면적
[오픈프로모]예블랑 워크스페이스,서울특별시,강남구,청담동,,123-26 번지,도산대로89길,19-14 번,37.52605657,127.0505158,6012,서울특별시 강남구 도산대로89길 19-14,서울특별시 강남구 청담동 123-26,360000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,2022-11-16,57.1 ㎡,157.9 ㎡
[일산원데이오피스] 피터비즈센터,경기도,고양시 일산서구,대화동,,2223-2 번지,일산로,774 번,37.67488441,126.748564,10381,경기도 고양시 일산서구 일산로 774,경기도 고양시 일산서구 대화동 2223-2,30000,일,독립오피스,1명 ~ 2명,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무일,휴무일,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,2022-11-16,631.99 ㎡,"6,313.65 ㎡"
[차고123] 강남역 3인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,1100000,월,독립오피스,1명 ~ 3명,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[차고123]강남역 1인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,330000,월,독립오피스,1명 ~ 1명,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[차고123]강남역 2인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,462000,월,독립오피스,1명 ~ 2명,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[차고123]강남역 4인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,1265000,월,독립오피스,1명 ~ 4명,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[차고123]강남역 5인 독립실,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,1595000,월,독립오피스,1명 ~ 5명,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[차고123]강남역6인독립오피스,서울특별시,강남구,역삼동,,830-69 번지,역삼로,123 번,37.49415449,127.0330086,6243,서울특별시 강남구 역삼로 123,서울특별시 강남구 역삼동 830-69,1760000,월,독립오피스,1명 ~ 6명,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:00 ~ 23:00,06:30 ~ 22:30,06:30 ~ 22:30,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,2022-11-16,544.59 ㎡,"4,952.92 ㎡"
[캔버스랩가로수길] 1인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,6028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,902000,월,독립오피스,1명 ~ 1명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,2022-11-16,309.17 ㎡,"2,565.16 ㎡"
[캔버스랩가로수길] 4인 오피스,서울특별시,강남구,신사동,,532-11 번지,가로수길,77 번,37.52302402,127.0223048,6028,서울특별시 강남구 가로수길 77,서울특별시 강남구 신사동 532-11,3410000,월,독립오피스,1명 ~ 4명,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,2022-11-16,,
